Original_Latitude,Original_Longitude,Venue_Name,Address,Latitude,Longitude,Categories,Rating,TotalRatings
45.55675103297278,-73.66716161370277,Resto la Poule Fleury,"1374 Fleury Rue E (Christophe-Colomb), Montréal QC H2C 1R5",45.560746,-73.657423,['Fast Food Restaurant'],,
45.55675103297278,-73.66716161370277,Subway,"120 Henri Bourassa Blvd O, Montréal QC H3L 1N1",45.548449,-73.671793,"['Deli', 'Fast Food Restaurant', 'Sandwich Spot']",,
45.51586835126322,-73.56008380651474,Cadet,"1431 Saint-Laurent Blvd (entre De Maisonneuve & Ste-Catherine), Montréal QC H2X 2S8",45.510388,-73.564365,"['Restaurant', 'Wine Bar']",,
45.51586835126322,-73.56008380651474,Bouillon Bilk,"1595 Saint-Laurent Blvd (entre De Maisonneuve & Ontario), Montréal QC H2X 2S9",45.511038,-73.565936,['Restaurant'],,
45.51586835126322,-73.56008380651474,Pourquoi Pas Espresso Bar,"1447 Atateken Rue (entre De Maisonneuve & Ste-Catherine), Montréal QC H2L 3L2",45.517964,-73.557776,"['Café', 'Coffee Shop', 'Restaurant']",,
45.51586835126322,-73.56008380651474,Le Mousso,"1023 Ontario Rue E (entre Amherst & St-Timothée), Montréal QC H2L 1P8",45.520127,-73.563173,['Restaurant'],,
45.51586835126322,-73.56008380651474,Cachitos,"153 Sainte Catherine Rue E (Boulevard Saint-Laurent), Montréal QC H2X 1K8",45.511222,-73.562454,"['Bakery', 'Café']",,
45.51586835126322,-73.56008380651474,Le Club Chasse et Pêche,"423 Saint-Claude Rue, Montréal QC H2Y 3B6",45.50887,-73.552354,['French Restaurant'],,
45.51586835126322,-73.56008380651474,La Capital Tacos,"1096 Saint-Laurent Blvd (entre René-Lévesque & De la Gauchetière), Montréal QC H2Z 1J5",45.508409,-73.561105,['Taco Restaurant'],,
45.51586835126322,-73.56008380651474,Café Lulu,"852 Sainte-Catherine Rue E, Montréal QC H2L 2E3",45.515966,-73.558245,"['Café', 'Restaurant']",,
45.51586835126322,-73.56008380651474,Café Saint-Henri Quartier Latin,"301 Emery Rue (entre St-Denis & Sanguinet), Montréal QC H2X 1J2",45.514313,-73.564151,"['Café', 'Restaurant']",,
45.51586835126322,-73.56008380651474,Arepera,"73 Prince Arthur Rue E (Coloniale), Montréal QC H2X 1B4",45.514719,-73.572108,['Arepa Restaurant'],,
45.55969734528566,-73.60145956277847,Nam Quan Restaurant,"3562 Jarry Rue E (15e Avenue), Montréal QC H1Z 2G3",45.566573,-73.606891,['Vietnamese Restaurant'],,
