name,latitude,longitude,free_bikes,empty_slots
12e avenue / St-Zotique,45.5568667309625,-73.589306473732,4,18
Valois / Ste-Catherine,45.54522973039872,-73.53725016117096,13,9
Clark / Fleury,45.54758205939525,-73.66522908210754,5,10
de l'Hôtel-de-Ville / Roy,45.51733075399989,-73.57449866831303,15,4
19e avenue / St-Zotique,45.56168275734862,-73.58564794063568,11,11
Ste-Catherine / Dézéry,45.539385081961676,-73.54099988937377,8,10
35e avenue / Beaubien,45.570081,-73.573047,6,17
de Léry / Sherbrooke,45.54099971663243,-73.55826258659361,4,21
Parc du Pélican (1ere Ave / Masson),45.54518840394769,-73.57644259929657,26,13
André-Laurendeau / Rachel,45.54303187243879,-73.56256484985352,12,11
Rosemont / Viau,45.56833021674857,-73.56666326522826,5,18
Parc des Hirondelles (Fleury / André-Jobin),45.5762948651025,-73.646759390831,14,5
du Parc-La Fontaine / Roy,45.5232203879173,-73.56916093829568,3,16
Alfred Laliberté / de Poutrincourt,45.53308032414161,-73.6945965886116,6,6
City Councillors / du President-Kennedy,45.50625103256782,-73.57139065861702,8,23
St-Dominique / Bernard,45.52793332015246,-73.60122251338906,3,16
10e avenue / Masson,45.55037651450808,-73.57373356819151,19,8
Prince-Arthur / du Parc,45.51044465753362,-73.5755842924118,27,6
Milton / du Parc,45.50936142835129,-73.57386365532875,9,22
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),45.508204615051355,-73.56881439685822,10,16
Place des Festivals (du Président-Kennedy / de Bleury),45.50764392965887,-73.56932401657104,9,18
26e avenue / Beaubien,45.56485589064712,-73.5774926841259,9,6
Union / Ste-Catherine,45.504027213143104,-73.56970220804214,44,3
Parc de la Louisiane (31e avenue / de Bellechasse),45.566542615726334,-73.57124984264374,1,17
Ste-Catherine / St-Laurent,45.50991130818593,-73.56380604207516,14,17
Clark / Rachel,45.517537449207474,-73.58241524554614,6,16
St-Laurent / Pl. du Marché,45.50928960913111,-73.56241598725319,12,15
St-Urbain / de la Gauchetière,45.50707812811467,-73.56139540672302,15,28
Stanley / Sherbrooke,45.50105732321463,-73.57722634080346,7,23
University / Prince-Arthur,45.5074794530521,-73.57864737510681,4,43
