Name,Rating,Address,OriginalLatitude,OriginalLongitude,BusinessLatitude,BusinessLongitude
Les Affamés HoMa,4.0,"4137 Rue Sainte-Catherine E, Montreal, QC H1V 1X1, Canada",45.55321884238814,-73.53978216648102,45.549054,-73.535349
Jimmy Restaurant,3.4,"3924 Rue Hochelaga, Montreal, QC H1W 1J9, Canada",45.55321884238814,-73.53978216648102,45.5507662,-73.5489314
Essentiellement Sol,4.3,"4234 Rue Sainte-Catherine E, Montreal, QC H1V 1X3, Canada",45.55321884238814,-73.53978216648102,45.5497,-73.5345
Le Tambour du Ste-Cath,5.0,"4264 Rue Sainte-Catherine E, Montreal, QC H1V 1X6, Canada",45.55321884238814,-73.53978216648102,45.55024,-73.534162
Pita Bar,3.3,"4315 Rue Ontario E, Montreal, QC H1V 1K5, Canada",45.55321884238814,-73.53978216648102,45.552803,-73.539842
La Bonne Bouffe Créole,4.2,"3715 Rue Sainte-Catherine E, Montreal, QC H1W 2E5, Canada",45.55321884238814,-73.53978216648102,45.544573,-73.537999
Fugazzi Pizza - Hochelaga,4.7,"3905 Rue Ontario E, Montreal, QC H1W 1S7, Canada",45.55321884238814,-73.53978216648102,45.54839,-73.54286
Bistro le Ste-Cath,2.4,"4264 Rue Saint-Catherine E, Montreal, QC H1V 1X6, Canada",45.55321884238814,-73.53978216648102,45.55023323942407,-73.53420907055751
Hochelaga,3.1,"4743 Rue Hochelaga, Montreal, QC H1V 1E2, Canada",45.55321884238814,-73.53978216648102,45.55930082717509,-73.54402133746963
Bistro Lamifa,4.3,"3976 Rue Ontario E, Montreal, QC H1W 1S9, Canada",45.55321884238814,-73.53978216648102,45.5492,-73.54168
Panda Sushi,0.0,"4277 Rue Sainte-Catherine E, Montreal, QC H1V 1X7, Canada",45.55321884238814,-73.53978216648102,45.550521,-73.534465
Restaurant Yogi,0.0,"3976 Rue Ontario E, Montreal, QC H1W 1S9, Canada",45.55321884238814,-73.53978216648102,45.54924358812995,-73.54174247364449
Wolfgang Social Club,0.0,"4045 Ontario E, Montreal, QC H1W 1T3, Canada",45.55321884238814,-73.53978216648102,45.54993,-73.54167
Basha,5.0,"3552 Rue Ontario E, Montreal, QC H1W 1R7, Canada",45.55321884238814,-73.53978216648102,45.54465,-73.54476
New Casa De La Pizza,1.7,"4223 Ontario Rue E, Montreal, QC H1V 1K2, Canada",45.55321884238814,-73.53978216648102,45.552649,-73.540479
King Creole,3.0,"3667 Rue Hochelaga, Montreal, QC H1W 1J2, Canada",45.55321884238814,-73.53978216648102,45.54784304398616,-73.5509743
William J. Walter,4.4,"5 Place Simon Valois, Montreal, QC H1W 0A6, Canada",45.55321884238814,-73.53978216648102,45.5475,-73.54413
Les Princesses,2.5,"4970 Rue Hochelaga, Montreal, QC H1V 1E8, Canada",45.55321884238814,-73.53978216648102,45.56168,-73.54196
Ô-Big,3.5,"3979 Rue Ontario E, Montreal, QC H1W 1T1, Canada",45.55321884238814,-73.53978216648102,45.54934,-73.54231
Metro Sous-Marins,5.0,"4300 Rue Sainte-Catherine E, Montreal, QC H1V 2L8, Canada",45.55321884238814,-73.53978216648102,45.55084,-73.53382
Pizzeria Bros,5.0,"3979 Rue Ontario E, Montreal, QC H1W 1T1, Canada",45.55321884238814,-73.53978216648102,45.5492617015195,-73.5420949713531
Le Maizonneuve,0.0,"4641 Rue Sainte-Catherine E, Montreal, QC H1V 1Z1, Canada",45.55321884238814,-73.53978216648102,45.55407,-73.53232
Les Faims Finauds,4.5,"9443 Rue Lajeunesse, Montreal, QC H2M 1S5, Canada",45.5534000891078,-73.66225451231003,45.5501395936896,-73.6507769675854
Brama,4.6,"9860 Rue Saint-Urbain, Montreal, QC H3L 2T2, Canada",45.5534000891078,-73.66225451231003,45.54504092168001,-73.66034332883616
Le Petit Flore,4.0,"1145 Rue Fleury E, Montreal, QC H2C 1P9, Canada",45.5534000891078,-73.66225451231003,45.558962,-73.659049
Les Cavistes,3.9,"196 Rue Fleury O, Montreal, QC H3L 1T5, Canada",45.5534000891078,-73.66225451231003,45.545757,-73.666302
La Citronnelle,3.9,"1386 Rue Fleury E, Montreal, QC H2C 1R4, Canada",45.5534000891078,-73.66225451231003,45.560843,-73.657388
Georges Pizza,4.3,"844 Sauve Rue Est, Montreal, QC H2C 1Z2, Canada",45.5534000891078,-73.66225451231003,45.55489,-73.65364
Resto Bar Coin Du Metro,2.8,"10719 Rue Lajeunesse, Montreal, QC H3L 2E7, Canada",45.5534000891078,-73.66225451231003,45.5554619,-73.668457
Sama Fusion,4.1,"945 Rue Fleury E, Montreal, QC H2C 1P5, Canada",45.5534000891078,-73.66225451231003,45.5575701869447,-73.659651093185
Le St-Urbain,4.2,"96 Rue Fleury O, Montreal, QC H3L 1T2, Canada",45.5534000891078,-73.66225451231003,45.54702,-73.66549
Restaurant Les Brides,4.0,"10420 Lajeunesse Street, Montreal, QC H3L 2E5, Canada",45.5534000891078,-73.66225451231003,45.5537599,-73.664
Marabou Créole,3.3,"9880 Boulevard Saint Laurent, Montreal, QC H3L, Canada",45.5534000891078,-73.66225451231003,45.5467150691868,-73.6595917068484
L'Estaminet,3.3,"1340 Rue Fleury E, Montreal, QC H2C 1R3, Canada",45.5534000891078,-73.66225451231003,45.56016,-73.65768
Pho 99 Chabanel,3.7,"9345 Boulevard Saint-Laurent, Montreal, QC H2N 1P6, Canada",45.5534000891078,-73.66225451231003,45.54487,-73.6514399
Le Millen,4.1,"1185 Rue Fleury Est, Montreal, QC H2C 1P9, Canada",45.5534000891078,-73.66225451231003,45.55894,-73.65894
Ichi Sushi,3.9,"1037 Fleury Rue E, Montreal, QC H2C 1P8, Canada",45.5534000891078,-73.66225451231003,45.55828,-73.65938
Frites Alors,3.6,"128 Fleury O, Montreal, QC H3L 2T6, Canada",45.5534000891078,-73.66225451231003,45.546524,-73.6658859
Pizzéria N° 900 Fleury,3.4,"1021 Rue Fleury E, Montreal, QC H2C 1P8, Canada",45.5534000891078,-73.66225451231003,45.55803,-73.65944
Resto La Poule Fleury,4.1,"1374 Fleury Rue E, Montreal, QC H2C 1R5, Canada",45.5534000891078,-73.66225451231003,45.56069,-73.65731
Madre,3.9,"124 Rue Fleury Ouest, Montreal, QC H3L 1T4, Canada",45.5534000891078,-73.66225451231003,45.5466801,-73.6658532
Chopstix,0.0,"325 Boulevard Henri-Bourassa E, Montreal, QC H3L 1C2, Canada",45.5534000891078,-73.66225451231003,45.55340770865079,-73.66948507055224
Pho Mymy,4.0,"1031 Rue Fleury E, Montreal, QC H2C 1P8, Canada",45.5534000891078,-73.66225451231003,45.5581953433385,-73.6593091115355
Le Lucie,3.0,"234 Rue Fleury O, Montreal, QC H3L 1T7, Canada",45.5534000891078,-73.66225451231003,45.5450897,-73.666725
Restaurant Madre,3.6,"124 Rue Fleury O, Montreal, QC H3L 1T4, Canada",45.5534000891078,-73.66225451231003,45.54667,-73.665848
Panini 76,0.0,"599 Boul Henri-Bourassa E, Montreal, QC H2C 1E3, Canada",45.5534000891078,-73.66225451231003,45.555817,-73.668237
Sushi Japango,3.0,"431 Henri-Bourassa Boul E, Montreal, QC H3L 1C5, Canada",45.5534000891078,-73.66225451231003,45.5540499,-73.66929
Toujours Mikes,3.5,"10490 Rue Lajeunesse, Montreal, QC H3L 2E5, Canada",45.5534000891078,-73.66225451231003,45.55407,-73.66486
Basha Restaurant,3.4,"10650 Lajeunesse Rue, Montreal, QC H3L 2E6, Canada",45.5534000891078,-73.66225451231003,45.55473,-73.66736
Martini Pizzeria,3.8,"9481 Lajeunesse Rue, Montreal, QC H2M 1S5, Canada",45.5534000891078,-73.66225451231003,45.5503799,-73.65093
Tutti Frutti,2.7,"10820 Avenue Millen, Montreal, QC H2C 2E9, Canada",45.5534000891078,-73.66225451231003,45.557073681741,-73.6691424448632
StHubert,2.7,"10520 Rue Lajeunesse, Montreal, QC H3L 2E6, Canada",45.5534000891078,-73.66225451231003,45.55422522740152,-73.66530427853547
Gi-Mo,4.0,"1197 Fleury Rue E, Montreal, QC H2C 1P9, Canada",45.5534000891078,-73.66225451231003,45.55903,-73.65889
Cafe De Da,0.0,"545 Fleury E, Montreal, QC H3L 1G6, Canada",45.5534000891078,-73.66225451231003,45.5533295,-73.6625519
La Molisana,2.5,"1014 Rue Fleury E, Montreal, QC H2C 1P7, Canada",45.5534000891078,-73.66225451231003,45.5578762,-73.6590576
Ikigaï Sushi Et Poke,0.0,"850 Rue Sauvé E, Montreal, QC H2C 1Z2, Canada",45.5534000891078,-73.66225451231003,45.55511355764192,-73.65361421349147
Buffet Chef Chinois,0.0,"10724 Millen Av, Montreal, QC H2C 2E6, Canada",45.5534000891078,-73.66225451231003,45.55656,-73.66802
Wawa Sushi,4.0,"925, rue Fleury est, Montreal, QC H2C 1P5, Canada",45.5534000891078,-73.66225451231003,45.5574650153771,-73.6595193296671
Chef Mak,3.0,"125 Boulevard Henri-Bourassa E, Montreal, QC H3L 1B6, Canada",45.5534000891078,-73.66225451231003,45.5518845362892,-73.6702796816826
McDonald's,2.1,"10400 Rue Lajeunesse, Montreal, QC H3L 2E5, Canada",45.5534000891078,-73.66225451231003,45.5536191356266,-73.6635259195566
Le Poké Station,0.0,"1216 Rue Fleury E, Montreal, QC H2C 1R1, Canada",45.5534000891078,-73.66225451231003,45.55922458066359,-73.65828399999997
Le Romarin,4.0,"160 Rue Fleury O, Montreal, QC H3L 1T5, Canada",45.5534000891078,-73.66225451231003,45.54606,-73.66603
Les Petites Baguettes,3.0,"1418 Rue Fleury East, Montreal, QC H2C 1R8, Canada",45.5534000891078,-73.66225451231003,45.5614204,-73.6569366
Mood,0.0,"9920 Boulevard Saint-Laurent, Montreal, QC H3L 2N7, Canada",45.5534000891078,-73.66225451231003,45.5468,-73.66041
A&W,0.0,"545 Boulevard Henri-Bourassa, Montreal, QC H3L 1C7, Canada",45.5534000891078,-73.66225451231003,45.55486459999999,-73.66887640797067
Les Brídês,3.0,"10420 Lajeunesse Street, Montreal, QC H3L 2E5, Canada",45.5534000891078,-73.66225451231003,45.5538483,-73.6638031
Nobori Sushi,3.5,"9717 Boulevard Saint-laurent, Montreal, QC H3L 2N4, Canada",45.5534000891078,-73.66225451231003,45.54647,-73.6575257
Rôtisserie St-Hubert,0.0,"10520 Rue Lajeunesse, Montreal, QC H3L 2E6, Canada",45.5534000891078,-73.66225451231003,45.55424183063075,-73.66548313141409
Restaurant Casa Vertoudos,2.0,"5 Henri-Bourassa Boul W, Montreal, QC H3L 1M6, Canada",45.5534000891078,-73.66225451231003,45.54978,-73.67157
Pizza Pizza,2.2,"500 Boulevard Henri-Bourassa E, Montreal, QC H3L 1C6, Canada",45.5534000891078,-73.66225451231003,45.554538,-73.668288
Cerise Café-Buvette,4.5,"234 Rue Fleury O, Montreal, QC H3L 1T7, Canada",45.5534000891078,-73.66225451231003,45.545069,-73.666713
Domino's Pizza,0.0,"9705 Boul Saint-Laurent, Montreal, QC H3L 2N4, Canada",45.5534000891078,-73.66225451231003,45.54657,-73.65736
Banh Xeo Minh,4.7,"2670 Rue Jarry E, Montreal, QC H1Z 2C2, Canada",45.55984236120471,-73.61544728279114,45.560946,-73.611782
Restaurant O Cantinho,3.9,"3204 Jarry Rue E, Montreal, QC H1Z 2E2, Canada",45.55984236120471,-73.61544728279114,45.56316,-73.60975
Fondue Kim Long,4.0,"3250 Boulevard Crémazie E, Montreal, QC H2A 2Y6, Canada",45.55984236120471,-73.61544728279114,45.562726,-73.605534
Poissonerie Restaurant Mediteraneene,4.8,"7735 Boulevard Saint Michel, Montreal, QC H2A 3A7, Canada",45.55984236120471,-73.61544728279114,45.56244,-73.60558
Pho Rang Dong,1.0,"2670 Rue Jarry E, Montreal, QC H1Z 2C2, Canada",45.55984236120471,-73.61544728279114,45.560987,-73.611801
Cambo Thai,5.0,"1660 Rue Jarry E, Montreal, QC H2E 1B3, Canada",45.55984236120471,-73.61544728279114,45.55275,-73.61918
